"player","team","pos","country","season","tier"
"Paul Hilton","Bury","DF","England",1982,4
"Phil Sproson","Port Vale","DF","England",1982,4
"Russell Bromage","Port Vale","DF","England",1982,4
"Micky Gynn","Peterborough United","MF","England",1982,4
"Gary Emmanuel","Swindon Town","MF","Wales",1982,4
"Geoff Hunter","Port Vale","MF","England",1982,4
"Les Mutrie","Hull City","FW","England",1982,4
"Paul Rideout","Swindon Town","FW","England",1982,4
"Steve Fox","Port Vale","FW","England",1982,4
"Peter Shilton","Southampton","GK","England",1983,1
"Mike Duxbury","Manchester United","DF","England",1983,1
"Mark Lawrenson","Liverpool","DF","Republic of Ireland",1983,1
"Alan Hansen","Liverpool","DF","Scotland",1983,1
"Kenny Sansom","Arsenal","DF","England",1983,1
"Bryan Robson","Manchester United","MF","England",1983,1
"Graeme Souness","Liverpool","MF","Scotland",1983,1
"Glenn Hoddle","Tottenham Hotspur","MF","England",1983,1
"Ian Rush","Liverpool","FW","Wales",1983,1
"Kenny Dalglish","Liverpool","FW","Scotland",1983,1
"Frank Stapleton","Manchester United","FW","Republic of Ireland",1983,1
"Alex Williams","Manchester City","GK","England",1983,2
"Mel Sterland","Sheffield Wednesday","DF","England",1983,2
"Mick McCarthy","Manchester City","DF","Republic of Ireland",1983,2
"Mick Lyons","Sheffield Wednesday","DF","England",1983,2
"Joey Jones","Chelsea","DF","Wales",1983,2
"Gary Megson","Sheffield Wednesday","MF","England",1983,2
"Jimmy Case","Brighton & Hove Albion","MF","England",1983,2
"Tony Grealish","Brighton & Hove Albion","MF","Republic of Ireland",1983,2
"Kerry Dixon","Chelsea","FW","England",1983,2
"Kevin Keegan","Newcastle United","FW","England",1983,2
"Mark Hateley","Portsmouth","FW","England",1983,2
"David Felgate","Lincoln City","GK","Wales",1983,3
"Gordon Nisbet","Plymouth Argyle","DF","England",1983,3
"Steve Bruce","Gillingham","DF","England",1983,3
"Malcolm Shotton","Oxford United","DF","England",1983,3
"Bobby McDonald","Oxford United","DF","Scotland",1983,3
"Trevor Hebberd","Oxford United","MF","England",1983,3
"Kevin Brock","Oxford United","MF","England",1983,3
"Brian Flynn","Burnley","MF","Wales",1983,3
"Keith Edwards","Sheffield United","FW","England",1983,3
"Billy Hamilton","Burnley","FW","Northern Ireland",1983,3
"Colin Morris","Sheffield United","FW","England",1983,3
"Roger Jones","York City","GK","England",1983,4
"Chris Price","Hereford United","DF","England",1983,4
"Colin Greenall","Blackpool","DF","England",1983,4
"John MacPhail","York City","DF","Scotland",1983,4
"Steve Richardson","Reading","DF","England",1983,4
"Ian Snodin","Doncaster Rovers","MF","England",1983,4
"Jim Harvey","Hereford United","MF","Northern Ireland",1983,4
"Trevor Quow","Peterborough United","MF","England",1983,4
"Trevor Senior","Reading","FW","England",1983,4
"John Byrne","York City","FW","Republic of Ireland",1983,4
"Keith Walwyn","York City","FW","Saint Kitts and Nevis",1983,4
"Peter Shilton","Southampton","GK","England",1984,1
"Gary Stevens","Everton","DF","England",1984,1
"Mark Lawrenson","Liverpool","DF","Republic of Ireland",1984,1
"Kevin Ratcliffe","Everton","DF","Wales",1984,1
"Kenny Sansom","Arsenal","DF","England",1984,1
"Bryan Robson","Manchester United","MF","England",1984,1
"Peter Reid","Everton","MF","England",1984,1
"Kevin Sheedy","Everton","MF","Republic of Ireland",1984,1
"Ian Rush","Liverpool","FW","Wales",1984,1
"Chris Waddle","Newcastle United","FW","England",1984,1
"Kerry Dixon","Chelsea","FW","England",1984,1
"Terry Gennoe","Blackburn Rovers","GK","England",1984,2
